"dimGoodsID","categoryID1","categoryName1","categoryID2","categoryName2","categoryID3","categoryName3","categoryID4","categoryName4","branName","name"
"1150461","10","烟酒纯鲜奶","11","烟","5","香烟","1","进口烟","长城","长城经典解百纳干红葡萄酒750ml"
"1150463","10","烟酒纯鲜奶","11","烟","5","香烟","1","进口烟","长城","长城精品解百纳干红木盒750ml*6"
"1150464","10","烟酒纯鲜奶","11","烟","5","香烟","1","进口烟","香格里拉","香格里拉有机干红葡萄酒750ml"
"1150465","10","烟酒纯鲜奶","11","烟","5","香烟","1","进口烟","长城","长城出口型蛇龙珠干红葡萄酒750ml"
"1150466","10","烟酒纯鲜奶","11","烟","5","香烟","3","杭产烟","长城","长城特级莎当妮干白葡萄酒750ml"
"1160007","10","烟酒纯鲜奶","12","酒","1","礼盒酒","2","礼盒装普通白酒","可口可乐","可口可乐1.25升"
"1160016","10","烟酒纯鲜奶","12","烟","1","香烟","1","进口烟","可口可乐","可口可乐2L"
"1160020","10","烟酒纯鲜奶","12","酒","2","礼盒酒","2","礼盒装普通白酒","雪碧","雪碧汽水1.25L"
"1160031","10","烟酒纯鲜奶","12","烟","2","香烟","1","进口烟","雪碧","雪碧2L"
"1160034","10","烟酒纯鲜奶","12","烟","3","香烟","1","进口烟","芬达","芬达汽水1.25L"
"1160052","10","烟酒纯鲜奶","12","烟","3","香烟","3","杭产烟","醒目","醒目西瓜汁500ml"
"1160113","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","蓝狮 ","蓝狮超纯啤酒8度500ml"
"1160131","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","蓝狮","蓝狮超纯啤酒11度330ml"
"1160174","10","烟酒纯鲜奶","11","酒","6","礼盒酒","2","礼盒装普通白酒","大梁山","大梁山7°啤酒500ml"
"1160183","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","雪花","雪花勇闯天涯8度罐装啤酒330ml"
"1160198","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","蓝带","蓝带啤酒超爽型8度330ml"
"1160203","10","烟酒纯鲜奶","11","酒","6","礼盒酒","2","礼盒装普通白酒","哈尔滨","哈尔滨冰纯啤酒600ml"
"1160217","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","千岛湖","千岛湖8度绿色冰爽啤酒330ml"
"1160219","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","千岛湖","千岛湖8度生态源啤酒350ml"
"1160228","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","青岛","青岛啤酒11度(醇厚听)330ml"
"1160231","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","雪花","雪花拉罐啤酒（精制）330ml"
"1160240","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","雪花","雪花清爽8度拉罐啤酒330ml"
"1160248","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","青岛","青岛啤酒淡爽型8度330ml"
"1160249","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","哈尔滨","哈尔滨冰纯啤酒罐装330ml"
"1160250","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","蓝带","蓝带啤酒11度军罐330ml"
"1160252","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","蓝带","蓝带啤酒北美淡爽10度330ml*6罐"
"1160337","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","哈尔滨","哈尔滨冰纯啤酒罐装500ml"
"1160338","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","蓝贝","蓝贝菠萝啤饮料330ml"
"1160346","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","哈尔滨","哈尔滨冰畅啤酒罐装330ml"
"1160355","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","KK","KK啤酒7度拉罐礼盒330ml*12"
"1160356","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","KK","KK啤酒7度拉罐330ml"
"1160359","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","哈尔滨","哈尔滨冰爽啤酒9度拉罐330ml*6罐"
"1160361","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","青岛","青岛啤酒冰醇8度拉罐330ml"
"1160362","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","青岛","青岛啤酒淡爽8度拉罐500ml"
"1160363","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","千岛湖","千岛湖啤酒超爽8度330ml*6罐"
"1160374","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","哈尔滨","哈尔滨小麦王啤酒3.6度500ml*3"
"1160376","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","青岛","青岛啤酒纯生8度罐装330ml"
"1160377","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","青岛","青岛啤酒8度罐装330ml"
"1160379","10","烟酒纯鲜奶","11","烟","6","香烟","4","省外烟","青岛","青岛啤酒11度瓶装296ml"
"1160381","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","青岛","青岛啤酒1903奥古特12度罐装500ml"
"1160382","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","青岛","青岛山水啤酒8度罐装330ml*6"
"1160383","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","青岛","青岛啤酒11度330ml*6罐"
"1160384","10","烟酒纯鲜奶","11","酒","6","礼盒酒","2","礼盒装普通白酒","雪花","雪花啤酒纯爽瓶装8度576ml"
"1160386","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","雪花","雪花啤酒勇闯天涯8度330ml(迷彩)"
"1160388","10","烟酒纯鲜奶","11","酒","6","礼盒酒","2","礼盒装普通白酒","雪花","雪花啤酒勇闯天涯8度500ml*4罐"
"1160390","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","雪花","雪花啤酒清爽8度330ml*6罐"
"1160391","10","烟酒纯鲜奶","11","酒","6","礼盒酒","2","礼盒装普通白酒","KK","KK金小麦啤酒7度580ml"
"1160395","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","千岛湖","千岛湖啤酒绿色冰爽8度330ml*6罐"
"1160396","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","百威","百威9.7度啤酒拉罐500ml"
"1160397","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","百威","百威8度纯生啤酒拉罐330ml"
"1160398","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","蓝狮","蓝狮超干啤酒11度拉罐330ml"
"1160399","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","蓝狮","蓝狮超干啤酒11度拉罐500ml"
"1160401","10","烟酒纯鲜奶","11","酒","6","礼盒酒","2","礼盒装普通白酒","青岛","青岛清爽啤酒8度600ml"
"1160403","10","烟酒纯鲜奶","11","酒","6","礼盒酒","2","礼盒装普通白酒","哈尔滨","哈尔滨冰爽啤酒9度瓶装580ml"
"1160404","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","青岛","青岛啤酒10度听装500ml"
"1160406","10","烟酒纯鲜奶","13","酒","2","礼盒酒","6","礼盒装进口酒","青岛","青岛啤酒8度罐装330ml"
"1160407","10","烟酒纯鲜奶","13","酒","2","葡萄酒、果酒、香槟酒","8","香槟酒","雪花","雪花啤酒纯爽8度500ml"
"1160408","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","红石梁","红石梁啤酒欢天7.58度500ml"
"1160409","10","烟酒纯鲜奶","12","饮料","5","果汁饮料","14","其他果汁饮料","大梁山","大梁山啤酒7度罐装330ml"
"1160410","10","烟酒纯鲜奶","11","酒","6","礼盒酒","2","礼盒装普通白酒","哈尔滨","哈尔滨冰爽啤酒9度瓶装580ml"
"1160411","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","雪花","雪花8度清爽啤酒500ml"
"1160412","10","烟酒纯鲜奶","11","烟","6","香烟","1","进口烟","雪花","雪花8度勇闯天涯啤酒330ml*6"
"1170014","10","烟酒纯鲜奶","12","烟","5","香烟","1","进口烟","椰树","椰树天然椰子汁245mL"
"1170018","10","烟酒纯鲜奶","12","烟","5","香烟","4","省外烟","露露","露露杏仁露240ml"
"1170037","10","烟酒纯鲜奶","12","酒","5","礼盒酒","2","礼盒装普通白酒","四洲","四洲粒粒橙汁饮品240ml"
"1170115","10","烟酒纯鲜奶","13","烟","1","香烟","1","进口烟","娃哈哈","娃哈哈AD钙奶饮料100ml*6"
"1170184","10","烟酒纯鲜奶","12","酒","4","礼盒酒","2","礼盒装普通白酒","红牛","红牛维生素功能饮料250ml"
"1170206","10","烟酒纯鲜奶","13","烟","2","香烟","1","进口烟","伊利","伊利纯牛奶250ml"
"1170231","50","烟酒纯鲜奶","50","烟","1","香烟","1","进口烟","光明","光明纯鲜牛奶980ml"
"1170235","10","烟酒纯鲜奶","13","烟","2","香烟","1","进口烟","光明","光明纯牛奶250ml"
"1170239","10","烟酒纯鲜奶","13","酒","2","礼盒酒","5","礼盒装滋补酒","伊利","伊利优酸乳乳饮料原味250ml"
"1170279","10","烟酒纯鲜奶","13","烟","1","香烟","1","进口烟","娃哈哈","娃哈哈AD钙奶饮料220ml*4"
"1170306","10","烟酒纯鲜奶","12","烟","5","香烟","1","进口烟","椰树","椰树天然椰子汁利乐包245ml*3"
"1170315","10","烟酒纯鲜奶","12","烟","5","香烟","3","杭产烟","汇源","汇源苹果汁1L"
"1170401","10","烟酒纯鲜奶","12","酒","8","礼盒酒","2","礼盒装普通白酒","康师傅","康师傅冰红茶500ml"
"1170406","10","烟酒纯鲜奶","12","烟","5","香烟","1","进口烟","椰树","椰树天然椰子汁利乐包1L"
"1170435","10","烟酒纯鲜奶","12","烟","5","香烟","1","进口烟","椰树","椰树天然椰子汁礼盒245ml*10"
"1170437","10","烟酒纯鲜奶","12","酒","5","礼盒酒","2","礼盒装普通白酒","汇源","汇源100%橙汁康美装1L"
"1170453","10","烟酒纯鲜奶","13","烟","2","香烟","3","杭产烟","伊利","伊利纯牛奶1L"
"1170458","10","烟酒纯鲜奶","12","烟","6","香烟","1","进口烟","惠尔康","惠尔康冬瓜茶果蔬味饮料248毫升"
"1170465","10","烟酒纯鲜奶","12","烟","8","香烟","3","杭产烟","康师傅","康师傅绿茶低糖500ml"
"1170490","10","烟酒纯鲜奶","13","烟","2","香烟","1","进口烟","蒙牛","蒙牛纯牛奶250ml"
"1170602","10","烟酒纯鲜奶","13","烟","1","香烟","4","省外烟","椰树","椰树豆奶242ml*3"
"1170719","10","烟酒纯鲜奶","11","烟","7","香烟","1","进口烟","古越龙山","古越龙山加饭3L"
"1170726","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","郑万利","郑万利五年陈加饭2L"
"1170732","10","烟酒纯鲜奶","11","烟","7","香烟","4","省外烟","塔牌","塔牌八年陈酿花雕酒500ml"
"1170733","10","烟酒纯鲜奶","11","烟","7","香烟","1","进口烟","郑万利","P郑万利双加饭酒5L"
"1170736","10","烟酒纯鲜奶","11","酒","7","礼盒酒","5","礼盒装滋补酒","生龙","生龙佬米酒838克"
"1170745","10","烟酒纯鲜奶","11","酒","7","礼盒酒","2","礼盒装普通白酒","塔牌","塔牌三年陈花雕酒500ml"
"1170746","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","塔牌","塔牌五年陈花雕酒特醇480ml"
"1170748","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","女儿红","女儿红（青瓷瓶）1L"
"1170749","10","烟酒纯鲜奶","11","烟","1","香烟","4","省外烟","女儿红","女儿红绍兴酒八年陈酿礼盒500ml*2"
"1170753","10","烟酒纯鲜奶","11","酒","7","礼盒酒","5","礼盒装滋补酒","甬江","益民糯米酒2.5L"
"1170754","10","烟酒纯鲜奶","11","酒","7","礼盒酒","2","礼盒装普通白酒","甬江","益民三年陈酿加饭2.5L"
"1170792","10","烟酒纯鲜奶","11","酒","7","礼盒酒","5","礼盒装滋补酒","郑万利","郑万利纯生糯米酒2.5L"
"1170802","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","古越龙山","古越龙山五年陈绍兴加饭500ml"
"1170812","10","烟酒纯鲜奶","11","烟","7","香烟","1","进口烟","塔牌","塔牌绍兴酒15.5度3L"
"1170880","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","阿拉","阿拉老酒五年陈酿(扁瓶)330ml"
"1170884","10","烟酒纯鲜奶","11","酒","7","礼盒酒","2","礼盒装普通白酒","古越龙山","古越龙山精制清醇老酒500毫升"
"1170891","10","烟酒纯鲜奶","11","烟","7","香烟","1","进口烟","阿拉","阿拉二年陈加饭酒500ml"
"1170896","10","烟酒纯鲜奶","11","酒","7","礼盒酒","2","礼盒装普通白酒","阿拉老酒","阿拉老酒三年陈精制营养黄酒555ml"
"1170950","10","烟酒纯鲜奶","11","酒","7","礼盒酒","2","礼盒装普通白酒","阿拉","阿拉三年陈双加饭酒2.5L"
"1170951","10","烟酒纯鲜奶","11","烟","7","香烟","1","进口烟","塔牌","塔牌陈年绍兴加饭酒500ml"
