"一级品类编码","一级品类","二级品类编码","二级品类","实际收入","促销折扣额","会员折扣额","销售件数","订单数","收入占比","累计收入占比","综合折扣率","客单价","ABC等级","折扣依赖度"
"96","烟酒纯鲜奶","95","酒","20004.9","0","749.8","143","131","0.6","88.89","3.61","152.71","B类（重要）","低折扣（价格坚挺）"
"56","烟酒纯鲜奶","1","酒","19270.41","0","739.6328","1336.232","1556","0.58","89.47","3.7","12.38","B类（重要）","低折扣（价格坚挺）"
"10","烟酒纯鲜奶","13","烟","18500.09","1589.7","50.7","6850","617","0.56","90.03","8.14","29.98","B类（重要）","中等折扣"
"68","烟酒纯鲜奶","67","烟","18333.29","0","460.42","1715","1061","0.55","90.58","2.45","17.28","B类（重要）","低折扣（价格坚挺）"
"70","烟酒纯鲜奶","72","烟","17044.36","428.3","507.83","1311","816","0.51","91.09","5.21","20.89","B类（重要）","中等折扣"
"70","烟酒纯鲜奶","72","酒","16887.32","0","524.64","980","703","0.51","91.6","3.01","24.02","B类（重要）","低折扣（价格坚挺）"
"60","烟酒纯鲜奶","63","烟","14025.82","0","354.38","753","623","0.42","92.03","2.46","22.51","B类（重要）","低折扣（价格坚挺）"
"30","保健","32","保健品","13734.97","0","272.49","2506","1858","0.41","92.44","1.95","7.39","B类（重要）","低折扣（价格坚挺）"
"30","烟酒纯鲜奶","32","烟","13624.59","4.7","313.1052","1515.308","1079","0.41","92.85","2.28","12.63","B类（重要）","低折扣（价格坚挺）"
"90","烟酒纯鲜奶","92","酒","12951","0","0","6988.3","313","0.39","93.24","0","41.38","B类（重要）","低折扣（价格坚挺）"
"40","烟酒纯鲜奶","45","酒","12588.72","57.11","343.38","2633","1356","0.38","93.62","3.08","9.28","B类（重要）","低折扣（价格坚挺）"
"30","烟酒纯鲜奶","32","酒","12586.73","14.725","274.3838","1913.156","1449","0.38","94","2.25","8.69","B类（重要）","低折扣（价格坚挺）"
"68","日配","67","日配","12005.74","0","380.47","977","661","0.36","94.36","3.07","18.16","B类（重要）","低折扣（价格坚挺）"
"40","烟酒纯鲜奶","43","酒","11866.89","19.01","358.83","2431","1604","0.36","94.72","3.09","7.4","B类（重要）","低折扣（价格坚挺）"
"90","烟酒纯鲜奶","91","烟","11182.91","0","295.49","809","584","0.34","95.06","2.57","19.15","C类（长尾）","低折扣（价格坚挺）"
"80","烟酒纯鲜奶","81","烟","10848.17","312.85","503.98","330","259","0.33","95.39","7","41.88","C类（长尾）","中等折扣"
"68","烟酒纯鲜奶","67","饮料","10260.26","0","317.53","898","621","0.31","95.7","3","16.52","C类（长尾）","低折扣（价格坚挺）"
"90","烟酒纯鲜奶","91","酒","10114.55","0","225.24","630","473","0.31","96","2.18","21.38","C类（长尾）","低折扣（价格坚挺）"
