"门店编码","门店名称","大区编码","大区名称","实际收入","促销折扣额","会员折扣额","销售件数","订单数","综合折扣率","昨日实际收入","昨日促销折扣额","昨日会员折扣额","昨日订单数","收入日环比"
"BJ01","花桥店","BJOOOO","北京大区","85365.46","2348.899","2161.4857","9578.87","1467","5.02","62762.6","1525.353","1595.6068","1131","36.01"
"HD01","广场店","HDOOOO","华东大区","70732.33","854.542","1721.5162","8941.199","1354","3.51","59415.94","1968.21","1501.0428","1063","19.05"
