"大区编码","大区名称","吊牌总额","实际收入","促销折扣额","会员折扣额","折扣总额","促销折扣率","会员折扣率","综合折扣率","价格实现率","销售件数","订单数","客单价","件数连带率","SKU连带率","上期实际收入","收入环比","订单数环比","上期综合折扣率","上期促销折扣额","上期会员折扣额","上期吊牌总额","上期价格实现率"
"BJOOOO","北京大区","1805385.2563","1719275.87","41498.731","44610.6553","86109.3863","2.3","2.47","4.77","95.23","185275.171","30592","56.2","6.06","3.56","1752519.93","-1.9","5.52","4.8","41220.282","47097.2466","1840837.4586","95.2"
"HDOOOO","华东大区","1675527.632","1595530.23","38864.233","41133.169","79997.402","2.32","2.45","4.77","95.23","173623.075","30328","52.61","5.72","3.59","1505100.5","6.01","11.42","4.82","35681.219","40548.3937","1581330.1127","95.18"
